method,File,term,tuned,median/iqr (k),median/iqr (a),median/iqr (b)
gibbs,pitsA,1,1.00,18.30 / 11.00,0.55 / 0.55,0.47 / 0.33
gibbs,pitsA,2,1.00,20.20 / 6.70,0.46 / 0.24,0.70 / 0.42
gibbs,pitsA,3,1.00,20.00 / 5.25,0.37 / 0.40,0.34 / 0.49
gibbs,pitsA,4,1.00,22.30 / 11.00,0.45 / 0.33,0.77 / 0.49
gibbs,pitsA,5,0.89,15.50 / 3.22,0.42 / 0.13,0.59 / 0.31
gibbs,pitsA,6,0.67,13.00 / 13.25,0.34 / 0.25,0.41 / 0.38
gibbs,pitsA,7,0.56,28.00 / 1.00,0.57 / 0.43,0.58 / 0.16
gibbs,pitsA,8,0.44,21.00 / 0.00,0.48 / 0.00,0.93 / 0.00
gibbs,pitsA,9,0.33,30.00 / 0.00,0.42 / 0.00,0.41 / 0.00
gibbs,pitsB,1,1.00,18.55 / 11.50,0.52 / 0.55,0.50 / 0.52
gibbs,pitsB,2,1.00,16.00 / 14.25,0.74 / 0.45,0.80 / 0.32
gibbs,pitsB,3,1.00,23.30 / 9.70,0.56 / 0.49,0.50 / 0.62
gibbs,pitsB,4,1.00,20.00 / 6.00,0.55 / 0.24,0.68 / 0.47
gibbs,pitsB,5,0.89,16.00 / 0.00,0.35 / 0.09,0.52 / 0.54
gibbs,pitsB,6,0.67,10.00 / 0.00,0.71 / 0.00,0.68 / 0.00
gibbs,pitsB,7,0.56,24.00 / 9.00,0.34 / 0.41,0.73 / 0.16
gibbs,pitsB,8,0.67,22.00 / 0.00,0.43 / 0.00,0.28 / 0.00
gibbs,pitsB,9,0.56,13.85 / 3.15,0.66 / 0.24,0.14 / 0.04
gibbs,pitsC,1,1.00,18.20 / 11.00,0.55 / 0.55,0.50 / 0.35
gibbs,pitsC,2,1.00,21.00 / 12.58,0.68 / 0.32,0.79 / 0.53
gibbs,pitsC,3,1.00,16.10 / 11.70,0.32 / 0.45,0.29 / 0.22
gibbs,pitsC,4,1.00,18.00 / 13.00,0.44 / 0.32,0.52 / 0.20
gibbs,pitsC,5,1.00,19.00 / 10.50,0.51 / 0.78,0.61 / 0.43
gibbs,pitsC,6,1.00,17.00 / 6.52,0.42 / 0.12,0.44 / 0.16
gibbs,pitsC,7,1.00,20.00 / 11.20,0.12 / 0.10,0.55 / 0.04
gibbs,pitsC,8,1.00,10.65 / 0.35,0.32 / 0.06,0.89 / 0.11
gibbs,pitsC,9,0.67,12.50 / 0.50,0.74 / 0.13,0.76 / 0.15
gibbs,pitsD,1,1.00,16.45 / 11.65,0.49 / 0.54,0.50 / 0.53
gibbs,pitsD,2,1.00,23.00 / 9.40,0.60 / 0.38,0.63 / 0.45
gibbs,pitsD,3,1.00,22.00 / 11.00,0.82 / 0.61,0.65 / 0.63
gibbs,pitsD,4,1.00,20.00 / 17.00,0.54 / 0.63,0.56 / 0.52
gibbs,pitsD,5,1.00,18.00 / 11.23,0.23 / 0.07,0.45 / 0.58
gibbs,pitsD,6,0.89,19.00 / 2.43,0.27 / 0.23,0.67 / 0.09
gibbs,pitsD,7,0.78,16.00 / 0.00,0.18 / 0.00,0.62 / 0.00
gibbs,pitsD,8,0.78,16.00 / 0.00,0.50 / 0.00,0.80 / 0.00
gibbs,pitsD,9,0.44,13.00 / 0.00,0.43 / 0.00,0.49 / 0.00
gibbs,pitsE,1,1.00,17.70 / 9.50,0.59 / 0.37,0.49 / 0.35
gibbs,pitsE,2,1.00,24.00 / 9.00,0.71 / 0.31,0.55 / 0.43
gibbs,pitsE,3,1.00,24.00 / 8.05,0.46 / 0.24,0.62 / 0.20
gibbs,pitsE,4,1.00,13.30 / 8.00,0.22 / 0.17,0.43 / 0.42
gibbs,pitsE,5,0.89,24.00 / 1.25,0.19 / 0.07,0.80 / 0.12
gibbs,pitsE,6,0.67,17.00 / 4.66,0.23 / 0.09,0.24 / 0.04
gibbs,pitsE,7,0.56,18.00 / 2.00,0.70 / 0.42,0.28 / 0.71
gibbs,pitsE,8,0.78,16.00 / 0.30,0.29 / 0.12,0.44 / 0.15
gibbs,pitsE,9,0.78,14.60 / 0.00,0.87 / 0.00,0.30 / 0.00
gibbs,pitsF,1,1.00,17.70 / 9.50,0.59 / 0.37,0.49 / 0.35
gibbs,pitsF,2,1.00,24.00 / 9.00,0.71 / 0.31,0.55 / 0.43
gibbs,pitsF,3,1.00,24.00 / 8.05,0.46 / 0.24,0.62 / 0.20
gibbs,pitsF,4,1.00,13.30 / 8.00,0.28 / 0.50,0.43 / 0.46
gibbs,pitsF,5,0.89,24.00 / 9.08,0.26 / 0.14,0.88 / 0.09
gibbs,pitsF,6,0.67,23.00 / 13.00,0.27 / 0.10,0.56 / 0.57
gibbs,pitsF,7,0.56,24.30 / 5.00,0.80 / 0.46,0.88 / 0.21
gibbs,pitsF,8,0.67,17.00 / 1.00,0.37 / 0.02,0.68 / 0.07
gibbs,pitsF,9,0.89,12.00 / 0.00,0.42 / 0.00,0.30 / 0.00
gibbs,processed_citemap,1,1.00,15.80 / 11.00,0.52 / 0.56,0.50 / 0.40
gibbs,processed_citemap,2,1.00,20.40 / 13.75,0.46 / 0.33,0.47 / 0.48
gibbs,processed_citemap,3,1.00,17.00 / 7.73,0.64 / 0.70,0.63 / 0.33
gibbs,processed_citemap,4,1.00,26.00 / 10.45,0.51 / 0.36,0.60 / 0.46
gibbs,processed_citemap,5,1.00,11.00 / 4.00,0.26 / 0.44,0.46 / 0.32
gibbs,processed_citemap,6,1.00,10.00 / 1.00,0.10 / 0.03,0.13 / 0.14
gibbs,processed_citemap,7,0.56,10.70 / 0.00,0.11 / 0.00,0.57 / 0.00
gibbs,processed_citemap,8,0.22,18.35 / 11.97,0.51 / 0.81,0.68 / 0.65
gibbs,processed_citemap,9,0.33,29.00 / 0.00,0.28 / 0.00,0.96 / 0.00

method,File,term,tuned,median/iqr (k),median/iqr (a),median/iqr (b)
VEM,pitsA,1,1.00,18.30 / 11.00,0.50 / 0.61,0.41 / 0.37
VEM,pitsA,2,1.00,20.20 / 6.70,0.41 / 0.27,0.66 / 0.46
VEM,pitsA,3,1.00,20.00 / 5.25,0.29 / 0.44,0.26 / 0.55
VEM,pitsA,4,1.00,28.00 / 6.43,0.66 / 0.47,0.68 / 0.47
VEM,pitsA,5,1.00,30.00 / 1.50,0.91 / 0.15,0.69 / 0.26
VEM,pitsA,6,0.89,26.90 / 0.00,0.95 / 0.00,0.86 / 0.00
VEM,pitsA,7,0.67,29.00 / 0.00,1.00 / 0.00,0.36 / 0.00
VEM,pitsA,8,0.33,11.50 / 5.50,0.78 / 0.16,0.76 / 0.22
VEM,pitsA,9,0.33,10.00 / 0.00,0.40 / 0.00,0.92 / 0.00
VEM,pitsB,1,1.00,18.55 / 11.50,0.47 / 0.61,0.45 / 0.57
VEM,pitsB,2,1.00,16.00 / 14.25,0.71 / 0.50,0.77 / 0.36
VEM,pitsB,3,1.00,23.30 / 9.70,0.52 / 0.55,0.44 / 0.69
VEM,pitsB,4,1.00,24.60 / 17.00,0.51 / 0.22,0.62 / 0.51
VEM,pitsB,5,0.89,14.60 / 1.40,0.31 / 0.14,0.36 / 0.30
VEM,pitsB,6,0.78,30.00 / 0.30,0.68 / 0.08,0.66 / 0.24
VEM,pitsB,7,0.56,11.50 / 2.72,0.74 / 0.27,0.60 / 0.41
VEM,pitsB,8,0.33,18.00 / 13.95,0.39 / 0.35,0.61 / 0.34
VEM,pitsB,9,0.33,15.00 / 7.08,0.38 / 0.07,0.30 / 0.38
VEM,pitsC,1,1.00,18.20 / 11.00,0.50 / 0.61,0.45 / 0.38
VEM,pitsC,2,1.00,21.00 / 12.58,0.65 / 0.35,0.77 / 0.58
VEM,pitsC,3,1.00,16.10 / 11.70,0.24 / 0.50,0.21 / 0.24
VEM,pitsC,4,1.00,18.00 / 13.00,0.38 / 0.36,0.47 / 0.22
VEM,pitsC,5,1.00,24.00 / 13.65,0.50 / 0.83,0.51 / 0.67
VEM,pitsC,6,1.00,25.40 / 11.00,0.88 / 0.16,0.48 / 0.74
VEM,pitsC,7,1.00,24.00 / 2.00,0.75 / 0.05,0.77 / 0.36
VEM,pitsC,8,0.78,26.00 / 0.00,0.58 / 0.00,0.95 / 0.00
VEM,pitsC,9,1.00,12.00 / 4.13,0.66 / 0.03,0.69 / 0.32
VEM,pitsD,1,1.00,16.45 / 11.65,0.44 / 0.60,0.45 / 0.59
VEM,pitsD,2,1.00,23.00 / 9.40,0.55 / 0.42,0.59 / 0.50
VEM,pitsD,3,1.00,22.00 / 11.00,0.80 / 0.68,0.61 / 0.70
VEM,pitsD,4,1.00,20.00 / 17.00,0.49 / 0.70,0.51 / 0.58
VEM,pitsD,5,1.00,28.00 / 3.10,0.53 / 0.47,0.32 / 0.37
VEM,pitsD,6,1.00,25.00 / 3.50,0.64 / 0.32,0.51 / 0.40
VEM,pitsD,7,1.00,21.70 / 2.25,0.92 / 0.07,0.41 / 0.50
VEM,pitsD,8,1.00,29.00 / 0.00,0.83 / 0.03,0.67 / 0.33
VEM,pitsD,9,0.33,29.00 / 2.95,0.14 / 0.06,0.36 / 0.01
VEM,pitsE,1,1.00,17.70 / 9.50,0.54 / 0.42,0.43 / 0.39
VEM,pitsE,2,1.00,24.00 / 9.00,0.68 / 0.34,0.50 / 0.47
VEM,pitsE,3,1.00,24.00 / 8.05,0.40 / 0.27,0.58 / 0.22
VEM,pitsE,4,1.00,25.00 / 3.00,0.75 / 0.11,0.69 / 0.55
VEM,pitsE,5,1.00,29.00 / 0.00,0.73 / 0.00,0.49 / 0.00
VEM,pitsE,6,0.89,10.00 / 0.00,0.76 / 0.00,0.34 / 0.00
VEM,pitsE,7,1.00,30.00 / 0.00,1.00 / 0.00,1.00 / 0.00
VEM,pitsE,8,0.78,17.00 / 0.00,0.70 / 0.00,0.18 / 0.00
VEM,pitsE,9,0.67,27.00 / 0.00,0.98 / 0.00,0.78 / 0.00
VEM,pitsF,1,1.00,17.70 / 9.50,0.54 / 0.42,0.43 / 0.39
VEM,pitsF,2,1.00,24.00 / 9.00,0.68 / 0.34,0.50 / 0.47
VEM,pitsF,3,1.00,24.00 / 8.05,0.40 / 0.27,0.58 / 0.22
VEM,pitsF,4,1.00,25.00 / 15.00,0.75 / 0.65,0.37 / 0.91
VEM,pitsF,5,1.00,29.00 / 0.00,0.73 / 0.00,0.49 / 0.00
VEM,pitsF,6,0.67,16.00 / 4.00,0.66 / 0.02,0.18 / 0.06
VEM,pitsF,7,0.89,30.00 / 0.00,1.00 / 0.00,1.00 / 0.00
VEM,pitsF,8,0.67,30.00 / 0.00,1.00 / 0.00,0.93 / 0.00
VEM,pitsF,9,0.56,16.00 / 0.00,0.67 / 0.00,0.13 / 0.00
VEM,processed_citemap,1,1.00,15.00 / 10.50,0.50 / 0.57,0.44 / 0.40
VEM,processed_citemap,2,1.00,26.32 / 16.00,0.63 / 0.26,0.31 / 0.22
VEM,processed_citemap,3,1.00,21.00 / 11.16,0.94 / 0.26,0.50 / 0.13
VEM,processed_citemap,4,0.89,16.00 / 1.60,0.95 / 0.28,0.21 / 0.37
VEM,processed_citemap,5,1.00,27.00 / 0.00,0.88 / 0.00,0.79 / 0.00
VEM,processed_citemap,6,0.78,26.00 / 0.00,0.91 / 0.00,0.70 / 0.00
VEM,processed_citemap,7,0.56,26.90 / 0.00,1.00 / 0.00,0.81 / 0.00
VEM,processed_citemap,8,0.33,15.00 / 9.50,0.33 / 0.45,0.65 / 0.28
VEM,processed_citemap,9,0.33,15.90 / 5.90,0.52 / 0.26,0.21 / 0.21

method,File,term,tuned,median/iqr (k),median/iqr (a),median/iqr (b)
spark,pitsA,1,1.00,18.30 / 11.00,0.50 / 0.61,0.41 / 0.37
spark,pitsA,2,1.00,20.20 / 6.70,0.41 / 0.27,0.66 / 0.46
spark,pitsA,3,1.00,19.00 / 2.75,0.59 / 0.17,0.48 / 0.47
spark,pitsA,4,1.00,25.00 / 9.00,0.82 / 0.18,0.36 / 0.41
spark,pitsA,5,1.00,30.00 / 2.00,0.91 / 0.10,0.69 / 0.17
spark,pitsA,6,0.89,29.00 / 0.00,0.84 / 0.00,0.50 / 0.00
spark,pitsA,7,0.78,29.00 / 0.00,1.00 / 0.00,0.36 / 0.00
spark,pitsA,8,0.22,15.00 / 4.00,0.75 / 0.47,0.64 / 0.25
spark,pitsA,9,0.22,14.00 / 20.00,0.40 / 0.39,0.72 / 0.58
spark,pitsB,1,1.00,18.55 / 11.50,0.47 / 0.61,0.45 / 0.57
spark,pitsB,2,1.00,16.00 / 14.25,0.71 / 0.50,0.77 / 0.36
spark,pitsB,3,1.00,24.00 / 11.00,0.54 / 0.54,0.44 / 0.60
spark,pitsB,4,1.00,23.00 / 11.00,0.57 / 0.16,0.65 / 0.56
spark,pitsB,5,1.00,20.00 / 0.00,0.78 / 0.08,0.11 / 0.17
spark,pitsB,6,1.00,27.20 / 5.00,0.72 / 0.07,0.40 / 0.40
spark,pitsB,7,0.44,11.00 / 3.50,0.42 / 0.43,0.48 / 0.38
spark,pitsB,8,0.56,26.00 / 0.00,0.81 / 0.00,0.56 / 0.00
spark,pitsB,9,0.44,28.00 / 0.00,0.97 / 0.00,0.75 / 0.00
spark,pitsC,1,1.00,18.20 / 11.00,0.50 / 0.61,0.45 / 0.38
spark,pitsC,2,1.00,21.00 / 12.58,0.65 / 0.35,0.77 / 0.58
spark,pitsC,3,1.00,16.10 / 11.70,0.24 / 0.50,0.21 / 0.24
spark,pitsC,4,1.00,12.70 / 8.00,0.84 / 0.38,0.55 / 0.21
spark,pitsC,5,1.00,24.00 / 11.80,0.96 / 0.24,0.64 / 0.53
spark,pitsC,6,1.00,25.40 / 11.00,0.87 / 0.26,0.48 / 0.82
spark,pitsC,7,1.00,24.00 / 2.00,0.75 / 0.10,0.57 / 0.41
spark,pitsC,8,1.00,13.00 / 1.00,0.46 / 0.08,0.95 / 0.09
spark,pitsC,9,1.00,26.50 / 2.50,0.57 / 0.39,0.67 / 0.31
spark,pitsD,1,1.00,16.45 / 11.65,0.44 / 0.60,0.45 / 0.59
spark,pitsD,2,1.00,23.00 / 9.40,0.55 / 0.42,0.59 / 0.50
spark,pitsD,3,1.00,19.90 / 12.50,0.92 / 0.20,0.77 / 0.47
spark,pitsD,4,1.00,23.00 / 13.00,0.82 / 0.17,0.37 / 0.69
spark,pitsD,5,1.00,29.00 / 1.00,0.71 / 0.47,0.32 / 0.44
spark,pitsD,6,1.00,25.00 / 4.00,0.69 / 0.32,0.71 / 0.40
spark,pitsD,7,1.00,21.35 / 3.27,0.95 / 0.07,0.29 / 0.39
spark,pitsD,8,1.00,29.00 / 7.00,0.85 / 0.09,0.53 / 0.51
spark,pitsD,9,0.22,20.60 / 3.80,0.59 / 0.47,0.32 / 0.09
spark,pitsE,1,1.00,17.70 / 9.50,0.54 / 0.42,0.43 / 0.39
spark,pitsE,2,1.00,24.00 / 9.00,0.68 / 0.34,0.50 / 0.47
spark,pitsE,3,1.00,23.85 / 3.25,0.49 / 0.33,0.59 / 0.33
spark,pitsE,4,1.00,25.00 / 3.00,0.85 / 0.11,0.87 / 0.55
spark,pitsE,5,1.00,19.00 / 10.00,0.93 / 0.20,0.49 / 0.22
spark,pitsE,6,0.56,11.35 / 1.35,0.74 / 0.02,0.25 / 0.09
spark,pitsE,7,1.00,30.00 / 0.00,1.00 / 0.00,1.00 / 0.00
spark,pitsE,8,0.44,27.00 / 1.50,0.80 / 0.05,0.20 / 0.26
spark,pitsE,9,0.89,19.00 / 2.85,0.38 / 0.03,0.12 / 0.15
spark,pitsF,1,1.00,17.70 / 9.50,0.54 / 0.42,0.43 / 0.39
spark,pitsF,2,1.00,24.00 / 9.00,0.68 / 0.34,0.50 / 0.47
spark,pitsF,3,1.00,24.00 / 3.60,0.49 / 0.30,0.59 / 0.29
spark,pitsF,4,1.00,25.00 / 5.62,0.80 / 0.14,0.60 / 0.56
spark,pitsF,5,1.00,19.00 / 10.00,0.93 / 0.20,0.49 / 0.22
spark,pitsF,6,0.56,25.40 / 3.50,0.19 / 0.10,0.42 / 0.34
spark,pitsF,7,1.00,30.00 / 0.00,1.00 / 0.00,1.00 / 0.00
spark,pitsF,8,0.56,25.50 / 4.50,0.79 / 0.21,0.58 / 0.36
spark,pitsF,9,1.00,13.00 / 0.00,0.72 / 0.00,0.10 / 0.00
spark,citemap,1,1.00,15.80 / 11.00,0.47 / 0.62,0.45 / 0.44
spark,citemap,2,1.00,20.40 / 13.75,0.40 / 0.37,0.41 / 0.53
spark,citemap,3,1.00,17.00 / 7.73,0.60 / 0.77,0.59 / 0.37
spark,citemap,4,1.00,26.00 / 10.42,0.45 / 0.40,0.52 / 0.53
spark,citemap,5,1.00,12.80 / 6.00,0.60 / 0.55,0.43 / 0.41
spark,citemap,6,1.00,23.80 / 5.00,0.91 / 0.07,0.57 / 0.24
spark,citemap,7,1.00,16.23 / 13.00,0.75 / 0.33,0.61 / 0.27
spark,citemap,8,1.00,21.50 / 12.75,0.84 / 0.60,0.41 / 0.33
spark,citemap,9,1.00,22.30 / 14.00,0.26 / 0.07,0.30 / 0.27
